lambda,accuracy,cost
0.0,0.8166666666666667,0.0008330029999999999
0.5,0.8166666666666667,0.0008330029999999999
1.0,0.8166666666666667,0.0008330029999999999
1.5,0.8166666666666667,0.0008330029999999999
2.0,0.8166666666666667,0.0008330029999999999
2.5,0.8166666666666667,0.0008330029999999999
3.0,0.8166666666666667,0.0008330029999999999
3.5,0.8166666666666667,0.0008330029999999999
4.0,0.8166666666666667,0.0008330029999999999
4.5,0.8166666666666667,0.0008330029999999999
5.0,0.8166666666666667,0.0008330029999999999
5.5,0.8166666666666667,0.0008330029999999999
6.0,0.8166666666666667,0.0008330029999999999
6.5,0.8166666666666667,0.0008330029999999999
7.0,0.8166666666666667,0.0008330029999999999
7.5,0.8166666666666667,0.0008330029999999999
8.0,0.8166666666666667,0.0008330029999999999
8.5,0.8166666666666667,0.0008330029999999999
9.0,0.8166666666666667,0.0008330029999999999
9.5,0.8166666666666667,0.0008330029999999999
10.0,0.8166666666666667,0.0008330029999999999
15.0,0.8166666666666667,0.0008330029999999999
20.0,0.8166666666666667,0.0008330029999999999
25.0,0.8166666666666667,0.0008330029999999999
30.0,0.8166666666666667,0.0008330029999999999
35.0,0.8166666666666667,0.0008330029999999999
40.0,0.81,0.000748233
45.0,0.81,0.000748233
50.0,0.81,0.000748233
55.0,0.81,0.000748233
60.0,0.81,0.000748233
65.0,0.81,0.000748233
70.0,0.81,0.000748233
75.0,0.81,0.000748233
80.0,0.81,0.000748233
85.0,0.81,0.000748233
90.0,0.8,0.000442818
95.0,0.7883333333333333,0.0003572871666666667
100.0,0.7883333333333333,0.0003572871666666667
150.0,0.7883333333333333,0.0003572871666666667
200.0,0.7733333333333333,0.0002988703333333334
250.0,0.7566666666666667,3.4645666666666666e-05
300.0,0.7566666666666667,3.4645666666666666e-05
350.0,0.7566666666666667,3.4645666666666666e-05
400.0,0.7566666666666667,3.4645666666666666e-05
450.0,0.7566666666666667,3.4645666666666666e-05
500.0,0.7566666666666667,3.4645666666666666e-05
550.0,0.7566666666666667,3.4645666666666666e-05
600.0,0.7566666666666667,3.4645666666666666e-05
650.0,0.7566666666666667,3.4645666666666666e-05
700.0,0.7566666666666667,3.4645666666666666e-05
750.0,0.7566666666666667,3.4645666666666666e-05
800.0,0.7566666666666667,3.4645666666666666e-05
850.0,0.7566666666666667,3.4645666666666666e-05
900.0,0.7566666666666667,3.4645666666666666e-05
950.0,0.7566666666666667,3.4645666666666666e-05
1000.0,0.7566666666666667,3.4645666666666666e-05
